必要であれば人から嫌われても構わない。,T
合理的に結果を出すことの方が倫理よりも重要だ。,T
人と話しているとエネルギーが湧き、一人でいるとエネルギーが減る。,E
人の相談に乗るときは、具体的な解決策を提案しがちである。,T
計画を立て素早く行動する。,J
周囲から浮いてでも自分のしたいことを突き通す。,T
理想や閃きは重要だと思う。,N
日常的な会話より難しい話の方が好きだ。,N
自己表現が得意で多人数で仕事をこなすのが好き。,E
指揮を取るポジションになりやすい。,J
エネルギッシュで行動的な性格である。,E
始めたことは最後までやり遂げる方だ。,J
一般的に重視されていることでも、自分に不要だと思ったら気にしない性格だ。,N
哲学的や答えが無い話において物事にふける時間がある。,N
周りの環境を気にして友達を作るのが得意。,E
自分から積極的に他人へアプローチする。,E
概念や理論的な話の方が、具体的な話より好きだ。,N
場の空気が悪くなっても割と平気な方だ。,T
頑強で、決断をあまり変えない。,J
動作や言動が真面目で硬いと思う。,J
